best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
9,14,accuracy,ddibn,158289,0,S2,0.545372,0.500574,0.519853,0.62027,0.527036,0.478616,0.52948,0.502392,0.533698,0.569763,0.536,0.49621,230.7
,v1zs_gemma27b,AUC-ROC(LLM-zs),ddibn,,,S2,0.504998,0.510068,0.504998,,,,1012.1
59,14,accuracy,ddibn,158289,42,S0,0.984323,0.993301,0.939789,0.986538,0.938245,0.9387,0.982955,0.987273,0.941681,0.986021,0.942969,0.943276,311.3
31,14,accuracy,ddibn,158289,42,S1,0.860328,0.914354,0.780997,0.84979,0.780026,0.786553,0.84867,0.919139,0.765372,0.837358,0.769979,0.775012,311.3
6,14,accuracy,ddibn,158289,42,S2,0.558042,0.508421,0.518085,0.604644,0.525092,0.440215,0.50924,0.501722,0.523436,0.533281,0.518958,0.436489,311.3
33,14,accuracy,ddibn,158289,124,S0,0.982427,0.991579,0.936898,0.985086,0.938181,0.937276,0.98208,0.987273,0.938189,0.985334,0.941337,0.940393,206.8
18,14,accuracy,ddibn,158289,124,S1,0.845659,0.909856,0.768035,0.836832,0.768197,0.770921,0.837182,0.911675,0.757389,0.828369,0.756908,0.75759,206.8
3,14,accuracy,ddibn,158289,124,S2,0.568279,0.51512,0.558354,0.582583,0.555686,0.54286,0.518041,0.505263,0.513622,0.532868,0.511485,0.504442,206.8
77,11,accuracy,ddibn,1799881,124,S0,0.991907,0.996364,0.953784,0.992954,0.950335,0.950952,0.989038,0.990048,0.953079,0.990655,0.95187,0.952221,10408.7
61,11,accuracy,ddibn,1799881,124,S1,0.901865,0.96,0.821887,0.897414,0.525819,0.094946,0.905931,0.97933,0.824972,0.904308,0.525132,0.092611,10408.7
1,11,accuracy,ddibn,1799881,124,S2,0.508048,0.504402,0.50603,0.533909,0.5,0.0,0.505653,0.499617,0.496441,0.540033,0.5,0.0,10408.7
40,11,accuracy,ddibn,1799881,42,S0,0.990563,0.995885,0.952167,0.991699,0.949322,0.949843,0.988283,0.989665,0.950289,0.990144,0.947631,0.94816,11769.0
50,11,accuracy,ddibn,1799881,42,S1,0.902021,0.960478,0.820279,0.897367,0.511521,0.042908,0.904435,0.978373,0.82077,0.901639,0.511448,0.042467,11769.0
1,11,accuracy,ddibn,1799881,42,S2,0.421473,0.489952,0.443227,0.471619,0.5,0.0,0.46479,0.492727,0.47976,0.502608,0.5,0.0,11769.0
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S0,0.919649,0.897684,0.919649,,,,1177.3
,v1ft_llama8b,AUC-ROC(LLM-zs),ddibn,,,S0,0.946651,0.915652,0.946651,,,,938.2
,v1ft_llama8b,AUC-ROC(LLM-zs),ddibn,,,S1,0.74701,0.702999,0.74701,,,,2384.2
,v1ft_llama8b,AUC-ROC(LLM-zs),ddibn,,,S2,0.530704,0.516688,0.530704,,,,323.9
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S0,0.919504,0.897592,0.919504,,,,1239.3
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S1,0.780306,0.725203,0.780306,,,,3196.9
,v1ft_qwen,AUC-ROC(LLM-zs),ddibn,,,S2,0.603139,0.577908,0.603139,,,,448.6
,v1ft_qwen14b,AUC-ROC(LLM-zs),ddibn,,,S0,0.5,0.5,0.5,,,,302.5
,v1ft_qwen14b,AUC-ROC(LLM-zs),ddibn,,,S1,0.5,0.5,0.5,,,,761.1
,v1ft_qwen14b,AUC-ROC(LLM-zs),ddibn,,,S2,0.5,0.5,0.5,,,,99.6
,v2zs_gemma,AUC-ROC(LLM-zs),ddibn,,,S2,0.560328,0.56826,0.499964,,,,2913.4
